request_id	source_family	authority	source_url	artifact_or_request	reporting_grain	expected_rows_or_totals	parser_or_normalization_path	status	caveats
ny-2024-certified-county-results	certified_results	New York State Board of Elections	https://results.elections.ny.gov/document/476	Official archive document 476 retained as PDF and normalized county President plus U.S. Senate CSV rows.	county	62 President county rows; 8,381,429 presidential votes; Harris 4,619,543, Trump 3,579,519, Other 182,367.	countyPresidentCsv and countyComparisonCsv	loaded_from_official_nysboe_pdf	County-certified rows remain the map authority; they are not a precinct or election-district result package.
ny-2024-supplemental-local-review	same_grain_comparison	New York county boards via OpenElections supplemental source collection; legacy NYC bundle	https://github.com/openelections/openelections-sources-ny/tree/master/2024/general	Current local review CSV normalizes machine-readable county files, selected reviewed text-layer PDFs, Suffolk text rows, reconciled official Monroe County detail rows, and legacy NYC rows.	election_district_or_county_board_local_unit	10,408 loaded review rows across 50 county equivalents; 12 county equivalents remain outside normalized review coverage.	scripts/normalize-ny-local-review.mjs to localComparisonCsv	partial_loaded_with_missing_counties	OpenElections and legacy NYC rows are supplemental source-linked coverage, while Monroe rows are official county detail rows; this is still not a complete official NYSBOE statewide local-results package.
ny-2024-excluded-local-review-counties	same_grain_comparison	New York county boards of elections; New York State Board of Elections Flateau/VEDA future path	https://elections.ny.gov/flateau-database	Request or locate official same-grain President and U.S. Senate election-district/local result rows for Herkimer, Jefferson, Nassau, Ontario, Orange, Orleans, Oswego, Rockland, Schuyler, Steuben, Wyoming, and Yates.	election_district_or_local_reporting_unit	12 county equivalents missing or excluded; Monroe is now loaded from reconciled official county detail rows while its supplemental workbook remains a president-only zero-row lead.	future NY official ED/local result parser	needs_official_source_or_reviewed_extraction	Do not treat image-only, president-only, unsupported, or unreviewed local files as loaded coverage until extraction is reviewed and reconciled to county certified totals.
ny-2024-state-native-turnout	state_native_turnout	New York State Board of Elections	https://elections.ny.gov/enrollment-county	Collect a ballots-cast or voter-history turnout artifact and reconcile it with NYSBOE county or election-district enrollment denominator reports.	county_or_election_district	Active EAC fallback has 62 rows, 8,389,626 ballots cast, and 13,579,416 registered voters; NYSBOE enrollment reports are denominator leads only.	future NY turnout/voter-history normalizer	state_native_source_lead_not_loaded	Enrollment reports do not contain ballots-cast rows by themselves; keep EAC fallback active until turnout semantics and denominator timing are reviewed.
ny-2024-election-district-geometry	geometry	New York State Board of Elections; county boards; official GIS offices	https://flateau.elections.ny.gov/	Collect map-ready precinct/election-district geometry or a publishable crosswalk that matches 2024 local result labels.	precinct_or_election_district	Expected feature count unknown until official 2024 ED geometry or crosswalk source is identified; current repo has 62 county features only.	future ED geometry/crosswalk collector	official_geometry_or_crosswalk_not_loaded	Flateau/VEDA is a future official publication path and was not a 2024 replacement package in this pass.
ny-2026-flateau-veda-export-readiness	future_official_statewide_local_data	New York State Board of Elections Flateau/VEDA program	https://flateau.elections.ny.gov/downloads	Monitor the official VEDA results, voter-statistics, poll-site, invalid-affidavit, district-map, and download surfaces for elections covered by the April 1, 2026 effective date; do not use it as a 2024 replacement unless NYSBOE publishes qualifying historical 2024 exports.	future_election_district_or_vote_method_export	Wave 21 check found 0 total elections for 2026 and no election data available; the downloads page exposes categories but no selected election export for 2024.	future VEDA export collector	future_official_path_empty_for_2024	The VEDA/Flateau path is official and useful for future statewide local rows, voter statistics, poll sites, and maps, but it currently verifies the 2024 blocker rather than resolving it.
ny-2024-admin-audit-cvr-records	admin_context	New York State Board of Elections; county boards; official court or board records	https://elections.ny.gov/election-security	Request or collect post-election audit selection/comparison reports, CVR availability statements, recount/correction/incident records, litigation records, and source-side equipment assignment details where public.	county_audit_unit_precinct_request_path	Expected rows unknown until State Board or county artifacts are published or produced by request.	future admin context normalizers	needs_records_request_and_scope_review	No normalized audit, CVR availability, incident, correction, recount, or litigation rows are loaded; administration context must remain caveated and source-linked.
ny-2024-local-herkimer	same_grain_comparison	New York county boards of elections via NYSBOE County Board Roster	https://publicreporting.elections.ny.gov/CountyBoardRoster/CountyBoardRoster	Request packet for Herkimer County: official 2024 General local/election-district President plus United States Senator rows, ballots-cast or voter-history fields, registered-voter denominator timing, ED geometry/crosswalk, and audit/CVR/recount/incident/correction/litigation records where public.	election_district_or_local_reporting_unit	County-specific row count unknown until official artifact is produced; reconcile to official county President and U.S. Senate totals before loading.	future NY official ED/local result parser	packet_ready_no_loaded_rows	Current lead is an unreviewed Herkimer.pdf supplemental source; do not load until extraction is reviewed and totals reconcile. See data/ny-2024-missing-county-request-packets.json.
ny-2024-local-jefferson	same_grain_comparison	New York county boards of elections via NYSBOE County Board Roster	https://publicreporting.elections.ny.gov/CountyBoardRoster/CountyBoardRoster	Request packet for Jefferson County: official 2024 General local/election-district President plus United States Senator rows, ballots-cast or voter-history fields, registered-voter denominator timing, ED geometry/crosswalk, and audit/CVR/recount/incident/correction/litigation records where public.	election_district_or_local_reporting_unit	County-specific row count unknown until official artifact is produced; reconcile to official county President and U.S. Senate totals before loading.	future NY official ED/local result parser	packet_ready_no_loaded_rows	Current lead is an unreviewed unofficial Jefferson PDF; request certified/final official rows before loading. See data/ny-2024-missing-county-request-packets.json.
ny-2024-local-monroe	same_grain_comparison	Monroe County Board of Elections	https://www.monroecounty.gov/elections-results	Official Monroe 2024 General canvass-book detail, November 26 certification, reconciliation summary, and turnout lead retained at data/ny-2024-monroe-canvass-book.pdf, data/ny-2024-monroe-general-certification.pdf, data/ny-2024-monroe-reconciliation-summary.json, and data/ny-2024-monroe-general-voter-turnout-v2.pdf.	election_district_or_local_reporting_unit	Loaded 655 Monroe local review rows. Detail rows reconcile to President Harris 214,757, Trump 145,940, Other/residual 7,646, total 368,343; U.S. Senate Gillibrand 213,432, Sapraicone 140,764, Diane Sare 1,661.	scripts/ny-monroe-official-detail.mjs and scripts/reconcile-ny-monroe-sources.mjs, emitted by scripts/normalize-ny-local-review.mjs	loaded_official_detail_reconciled	The original OpenElections Monroe.xlsx remains President-detail only. Loaded Monroe rows come from official county PDFs and use President residual other/blank/void convention plus U.S. Senate Diane Sare candidate-only comparison_other. The turnout v2 PDF is a county-specific lead only; active NY turnout remains EAC fallback.
ny-2024-local-nassau	same_grain_comparison	New York county boards of elections via NYSBOE County Board Roster	https://publicreporting.elections.ny.gov/CountyBoardRoster/CountyBoardRoster	Request packet for Nassau County: official 2024 General local/election-district President plus United States Senator rows, ballots-cast or voter-history fields, registered-voter denominator timing, ED geometry/crosswalk, and audit/CVR/recount/incident/correction/litigation records where public.	election_district_or_local_reporting_unit	County-specific row count unknown until official artifact is produced; reconcile to official county President and U.S. Senate totals before loading.	future NY official ED/local result parser	packet_ready_no_loaded_rows	No Nassau 2024 general source file was present in the current OpenElections manifest; request directly from the official county board path. See data/ny-2024-missing-county-request-packets.json.
